hh_ID,door_screens,house_type,concrete_house,water_supply_by_pipe,garbage_management,n_toilets_outside
725,0,Single,1,Unknown,Burn,0
726,0,Poles,1,Unknown,Burn,1
727,0,Single,1,1,Burn,0
728,0,Single,1,1,Burn,1
729,0,Single,1,1,Car,0
730,1,Single,1,1,Car,1
731,0,Single,1,1,Burn,0
732,1,Poles,1,1,Car,1
733,0,Single,1,1,Burn,1
734,0,Single,1,Unknown,Burn,1
735,0,Poles,0,1,Car,1
736,0,Single,1,1,Burn,0
737,0,Single,0,1,Burn,1
738,0,Single,0,1,Burn,0
739,0,Single,1,1,Car,0
740,1,Single,1,1,Car,0
741,0,Single,1,1,Burn,0
742,0,Single,1,1,Burn,1
743,0,Single,1,1,Car,0
744,0,Single,0,Unknown,Car,1
745,0,Single,0,1,Burn,1
746,0,Single,1,1,Burn,1
747,0,Single,1,1,Burn,0
748,0,Single,1,1,Burn,1
749,0,Single,0,1,Car,1
750,0,Single,1,1,Car,0
751,0,Single,1,1,Car,1
752,1,Single,1,1,Car,1
753,0,Single,1,1,Dump,1
754,0,Single,1,1,Car,0
755,0,Single,0,1,Car,0
756,1,Single,1,1,Car,0
757,1,Single,1,1,Burn,1
758,0,Single,1,Unknown,Dump,1
759,0,Poles,1,Unknown,Dump,1
760,0,Poles,0,1,Burn,0
761,1,Single,1,1,Burn,1
762,0,Poles,0,1,Burn,0
763,1,Single,1,1,Burn,1
764,0,Poles,0,1,Burn,0
765,0,Poles,0,1,Burn,1
766,1,Poles,1,1,Burn,1
767,0,Single,1,1,Burn,1
768,0,Single,1,1,Car,0
769,0,Poles,1,1,Burn,1
770,0,Single,1,1,Car,1
771,0,Single,0,1,Car,0
772,0,Poles,1,1,Car,1
773,0,Single,1,1,Burn,0
774,0,Single,1,1,Burn,1
775,0,Single,1,Unknown,Car,0
776,1,Single,1,1,Burn,0
777,1,Single,1,1,Car,1
778,1,Single,1,1,Car,0
779,0,Single,1,1,Car,0
780,1,Single,1,1,Burn,1
781,1,Townhouse,1,1,Car,0
782,1,Townhouse,1,1,Dump,0
783,0,Single,1,1,Burn,1
784,0,Poles,0,1,Car,1
785,0,Poles,1,1,Car,0
786,0,Single,1,1,Car,0
787,0,Poles,0,1,Car,1
788,0,Single,1,1,Car,1
789,0,Poles,0,1,Car,1
790,0,Poles,1,1,Car,0
791,0,Single,1,1,Car,0
792,0,Poles,0,1,Car,1
793,0,Single,1,1,Car,0
794,0,Single,1,1,Burn,1
795,1,Poles,1,1,Car,0
